fund_name,category,fund_ytd,fund_1y,fund_3y,fund_5y,benchmark_name,benchmark_ytd,benchmark_1y,benchmark_3y,benchmark_5y,fund_mean,fund_std_dev,fund_Sharpe,fund_Sortino,fund_Beta,fund_Alpha,benchmark_mean,benchmark_std_dev,benchmark_Sharpe,benchmark_Sortino,fund_house,Type,Expense_ratio,AMC,Benchmark,Fund Manager,sector1_name,sector1_percent,sector2_name,sector2_percent,sector3_name,sector3_percent,Riskometer,Category,SubCategory
ABSL Large Cap Dir,Equity: Large Cap,4.71,-0.99,15.47,20.01,BSE 100 TRI,4.46,-1.7,14.08,19.28,14.78,12.12,0.7,1.18,0.96,1.69,13.41,12.6,0.56,0.95,Aditya Birla Sun Life Mutual Fund,Open-ended,"0.98%
(As on 31-Aug-2025)",Aditya Birla Sun Life AMC Ltd.,NIFTY 100 TRI,Mahesh Patil,Financial,34.98,Technology,15.11,Consumer Discretionary,9.44,Very High,Equity,Large Cap
ABSL Large & Mid Cap Dir,Equity: Large & MidCap,1.43,-4.39,14.13,18.43,BSE Large Mid Cap TRI,3.63,-2.87,14.42,20.55,13.69,14.09,0.52,0.73,1.01,-0.3,13.75,13.11,0.57,0.8,Aditya Birla Sun Life Mutual Fund,Open-ended,"1.16%
(As on 31-Aug-2025)",Aditya Birla Sun Life AMC Ltd.,NIFTY Large Midcap 250 TRI,Vishal Gajwani,Financial,26.94,Consumer Discretionary,15.42,Industrials,15.05,Very High,Equity,Large & MidCap
ABSL Manufacturing Equity Dir,Equity: Thematic,0.68,-2.87,18.65,19.35,BSE 500 TRI,2.84,-3.29,15.09,20.66,17.48,15.63,0.71,1.1,1.09,2.32,14.4,13.39,0.6,0.94,Aditya Birla Sun Life Mutual Fund,Open-ended,"1.36%
(As on 31-Aug-2025)",Aditya Birla Sun Life AMC Ltd.,Nifty India Manufacturing TRI,Dhaval Joshi,Materials,28.27,Industrials,25.92,Consumer Discretionary,24.55,Very High,Equity,Thematic
ABSL Mid Cap Dir,Equity: Mid Cap,1.21,-3.55,18.82,25.15,BSE 150 MidCap TRI,-0.17,-4.94,21.8,27.39,18.24,15.58,0.76,1.26,0.94,-1.6,20.69,15.83,0.91,1.34,Aditya Birla Sun Life Mutual Fund,Open-ended,"1.03%
(As on 31-Aug-2025)",Aditya Birla Sun Life AMC Ltd.,NIFTY Midcap 150 TRI,Vishal Gajwani,Financial,21.3,Materials,15.5,Industrials,15.21,Very High,Equity,Mid Cap
ABSL MNC Dir,Equity: Thematic-MNC,2.64,-3.07,12.8,13.01,BSE 500 TRI,2.84,-3.29,15.09,20.66,12.69,13.93,0.46,0.76,0.88,-0.75,14.4,13.39,0.6,0.94,Aditya Birla Sun Life Mutual Fund,Open-ended,"1.29%
(As on 31-Aug-2025)",Aditya Birla Sun Life AMC Ltd.,NIFTY MNC TRI,Chanchal Khandelwal,Industrials,23.28,Consumer Discretionary,18.8,Consumer Staples,17.17,Very High,Equity,Thematic-MNC
ABSL Nifty 50 ETF,Equity: Large Cap,5.76,-0.41,13.11,18.23,BSE 100 TRI,4.46,-1.7,14.08,19.28,12.49,12.12,0.51,0.91,0.96,-0.61,13.41,12.6,0.56,0.95,Aditya Birla Sun Life Mutual Fund,Open-ended,"0.04%
(As on 31-Aug-2025)",Aditya Birla Sun Life AMC Ltd.,NIFTY 50 TRI,Priya Sridhar,Financial,37.74,Technology,16.95,Energy & Utilities,11.77,Very High,Equity,Large Cap
ABSL Nifty 50 Index Dir,Equity: Large Cap,5.61,-0.6,12.85,17.84,BSE 100 TRI,4.46,-1.7,14.08,19.28,12.26,12.11,0.49,0.88,0.96,-0.84,13.41,12.6,0.56,0.95,Aditya Birla Sun Life Mutual Fund,Open-ended,"0.20%
(As on 31-Aug-2025)",Aditya Birla Sun Life AMC Ltd.,NIFTY 50 TRI,Priya Sridhar,Financial,37.72,Technology,16.94,Energy & Utilities,11.77,Very High,Equity,Large Cap
ABSL Nifty Next 50 ETF,Equity: Large Cap,-0.67,-10.34,16.17,20.67,BSE 100 TRI,4.46,-1.7,14.08,19.28,15.88,17.96,0.53,0.81,1.28,0.47,13.41,12.6,0.56,0.95,Aditya Birla Sun Life Mutual Fund,Open-ended,"0.09%
(As on 31-Aug-2025)",Aditya Birla Sun Life AMC Ltd.,NIFTY Next 50 TRI,Priya Sridhar,Financial,20.27,Energy & Utilities,15.78,Consumer Staples,13.89,Very High,Equity,Large Cap
ABSL Pharma & Healthcare Dir,Equity: Sectoral-Pharma,-1.92,-1.47,24.26,18.28,BSE Healthcare TRI,-1.75,2.08,25.5,19.48,22.56,15.94,1.02,1.71,0.96,-0.16,23.38,16.15,1.06,1.6,Aditya Birla Sun Life Mutual Fund,Open-ended,"1.03%
(As on 31-Aug-2025)",Aditya Birla Sun Life AMC Ltd.,BSE Healthcare TRI,Dhaval Shah,Healthcare,95.64,Industrials,1.6,Materials,0.82,Very High,Equity,Sectoral-Pharma
ABSL PSU Equity Dir,Equity: Thematic-PSU,1.35,-11.58,28.23,31.32,BSE PSU TRI,1.33,-11.15,31.3,34.8,26.77,21.8,0.94,1.78,0.95,-1.33,29.25,22.61,1.01,1.84,Aditya Birla Sun Life Mutual Fund,Open-ended,"0.57%
(As on 31-Aug-2025)",Aditya Birla Sun Life AMC Ltd.,BSE PSU TRI,Dhaval Gala,Energy & Utilities,40.14,Financial,36.26,Industrials,13.16,Very High,Equity,Thematic-PSU
ABSL Retirement 30s Dir,Equity: Flexi Cap,4.83,2.04,16.09,16.12,BSE 500 TRI,2.84,-3.29,15.09,20.66,15.3,13.4,0.67,1.04,0.95,1.28,14.4,13.39,0.6,0.94,Aditya Birla Sun Life Mutual Fund,Open-ended,"1.16%
(As on 31-Aug-2025)",Aditya Birla Sun Life AMC Ltd.,NIFTY 500 TRI,Jonas Bhutta,Financial,26.1,Industrials,17.17,Technology,13.52,Very High,Equity,Flexi Cap
ABSL Small Cap Dir,Equity: Small Cap,-3.72,-6.66,18.22,24.78,BSE 250 SmallCap TRI,-3.99,-8.74,21.32,28.44,17.81,17.57,0.65,1.0,0.9,-1.76,20.97,18.9,0.77,1.19,Aditya Birla Sun Life Mutual Fund,Open-ended,"0.90%
(As on 31-Aug-2025)",Aditya Birla Sun Life AMC Ltd.,BSE 250 SmallCap TRI,Abhinav Khandelwal,Industrials,18.18,Financial,17.5,Consumer Discretionary,16.88,Very High,Equity,Small Cap
ABSL Value Dir,Equity: Value Oriented,-4.56,-10.13,19.1,22.74,BSE 500 TRI,2.84,-3.29,15.09,20.66,18.5,16.17,0.75,1.21,1.12,3.11,14.4,13.39,0.6,0.94,Aditya Birla Sun Life Mutual Fund,Open-ended,"1.02%
(As on 31-Aug-2025)",Aditya Birla Sun Life AMC Ltd.,NIFTY 500 TRI,Kunal Sangoi,Financial,23.5,Materials,15.83,Technology,13.43,Very High,Equity,Value Oriented
Axis ELSS Tax Saver Dir,Equity: ELSS,3.74,-0.1,12.51,16.27,BSE 500 TRI,2.84,-3.29,15.09,20.66,12.22,13.06,0.45,0.77,0.88,-1.21,14.4,13.39,0.6,0.94,Axis Mutual Fund,Open-ended,"0.81%
(As on 31-Aug-2025)",Axis Asset Management Company Ltd.,NIFTY 500 TRI,Ashish Naik,Financial,30.08,Technology,14.83,Consumer Discretionary,10.5,Very High,Equity,ELSS
Axis ESG Integration Strategy Dir,Equity: Thematic-ESG,-0.22,-4.6,13.43,15.71,BSE 100 TRI,4.46,-1.7,14.08,19.28,12.63,12.43,0.51,0.77,0.88,0.06,13.41,12.6,0.56,0.95,Axis Mutual Fund,Open-ended,"1.34%
(As on 31-Aug-2025)",Axis Asset Management Company Ltd.,NIFTY 100 ESG TRI,Vishal Agarwal,Financial,30.14,Technology,21.39,Consumer Discretionary,13.04,Very High,Equity,Thematic-ESG
Axis Flexi Cap Dir,Equity: Flexi Cap,2.78,1.48,14.59,18.15,BSE 500 TRI,2.84,-3.29,15.09,20.66,13.88,13.24,0.57,0.81,0.93,0.02,14.4,13.39,0.6,0.94,Axis Mutual Fund,Open-ended,"0.72%
(As on 31-Aug-2025)",Axis Asset Management Company Ltd.,NIFTY 500 TRI,Sachin Relekar,Financial,29.21,Technology,15.19,Consumer Discretionary,13.43,Very High,Equity,Flexi Cap
Axis Focused Dir,Equity: Flexi Cap,4.18,0.08,10.23,14.41,BSE 500 TRI,2.84,-3.29,15.09,20.66,9.98,13.69,0.27,0.44,0.92,-3.77,14.4,13.39,0.6,0.94,Axis Mutual Fund,Open-ended,"0.84%
(As on 31-Aug-2025)",Axis Asset Management Company Ltd.,NIFTY 500 TRI,Sachin Relekar,Financial,33.92,Technology,19.18,Healthcare,10.63,Very High,Equity,Flexi Cap
Axis Large Cap Dir,Equity: Large Cap,4.24,-0.66,11.75,15.53,BSE 100 TRI,4.46,-1.7,14.08,19.28,11.26,11.67,0.42,0.67,0.89,-1.38,13.41,12.6,0.56,0.95,Axis Mutual Fund,Open-ended,"0.71%
(As on 31-Aug-2025)",Axis Asset Management Company Ltd.,BSE 100 TRI,Jayesh Sundar,Financial,31.73,Technology,18.05,Consumer Discretionary,11.27,Very High,Equity,Large Cap
Axis Large & Mid Cap Dir,Equity: Large & MidCap,2.42,0.87,17.88,22.82,BSE Large Mid Cap TRI,3.63,-2.87,14.42,20.55,16.84,12.57,0.84,1.21,0.84,4.17,13.75,13.11,0.57,0.8,Axis Mutual Fund,Open-ended,"0.61%
(As on 31-Aug-2025)",Axis Asset Management Company Ltd.,NIFTY Large Midcap 250 TRI,Hitesh Das,Financial,25.14,Technology,15.36,Industrials,14.28,Very High,Equity,Large & MidCap
Axis Midcap Dir,Equity: Mid Cap,1.47,-0.3,18.92,23.51,BSE 150 MidCap TRI,-0.17,-4.94,21.8,27.39,18.12,14.27,0.83,1.14,0.83,-0.13,20.69,15.83,0.91,1.34,Axis Mutual Fund,Open-ended,"0.56%
(As on 31-Aug-2025)",Axis Asset Management Company Ltd.,BSE 150 MidCap TRI,Nitin Arora,Consumer Discretionary,16.61,Financial,14.76,Materials,13.82,Very High,Equity,Mid Cap
Axis Nifty 100 Index Dir,Equity: Large Cap,4.47,-2.39,12.98,18.16,BSE 100 TRI,4.46,-1.7,14.08,19.28,12.43,12.84,0.48,0.79,1.02,-1.09,13.41,12.6,0.56,0.95,Axis Mutual Fund,Open-ended,"0.21%
(As on 31-Aug-2025)",Axis Asset Management Company Ltd.,NIFTY 100 TRI,Karthik Kumar,Financial,34.78,Technology,14.92,Energy & Utilities,12.45,Very High,Equity,Large Cap
Axis Nifty 50 ETF,Equity: Large Cap,5.75,-0.42,13.11,18.2,BSE 100 TRI,4.46,-1.7,14.08,19.28,12.49,12.11,0.51,0.91,0.96,-0.61,13.41,12.6,0.56,0.95,Axis Mutual Fund,Open-ended,"0.04%
(As on 31-Aug-2025)",Axis Asset Management Company Ltd.,NIFTY 50 TRI,Karthik Kumar,Financial,37.76,Technology,16.92,Energy & Utilities,11.77,Very High,Equity,Large Cap
Axis Small Cap Dir,Equity: Small Cap,-0.42,-0.31,20.06,28.45,BSE 250 SmallCap TRI,-3.99,-8.74,21.32,28.44,18.96,14.17,0.89,1.21,0.72,2.04,20.97,18.9,0.77,1.19,Axis Mutual Fund,Open-ended,"0.57%
(As on 31-Aug-2025)",Axis Asset Management Company Ltd.,NIFTY Smallcap 250 TRI,Mayank Hyanki,Financial,19.76,Industrials,15.3,Materials,14.29,Very High,Equity,Small Cap
Bandhan BSE Sensex ETF,Equity: Large Cap,4.08,-0.99,11.81,16.86,BSE 100 TRI,4.46,-1.7,14.08,19.28,11.34,11.7,0.43,0.76,0.92,-1.47,13.41,12.6,0.56,0.95,Bandhan Mutual Fund,Open-ended,"0.38%
(As on 31-Aug-2025)",Bandhan Asset Management Company Limited,BSE Sensex TRI,Abhishek Jain,Financial,39.91,Technology,18.9,Energy & Utilities,12.86,Very High,Equity,Large Cap
Bandhan ELSS Tax Saver Dir,Equity: ELSS,2.72,-4.08,16.14,24.29,BSE 500 TRI,2.84,-3.29,15.09,20.66,15.4,11.72,0.77,1.19,0.85,2.19,14.4,13.39,0.6,0.94,Bandhan Mutual Fund,Open-ended,"0.65%
(As on 31-Aug-2025)",Bandhan Asset Management Company Limited,BSE 500 TRI,Daylynn Gerard Paul Pinto,Financial,32.99,Technology,12.05,Materials,9.83,Very High,Equity,ELSS
Bandhan Flexi Cap Dir,Equity: Flexi Cap,5.56,-0.79,15.12,19.56,BSE 500 TRI,2.84,-3.29,15.09,20.66,14.49,11.65,0.7,1.12,0.84,1.42,14.4,13.39,0.6,0.94,Bandhan Mutual Fund,Open-ended,"1.14%
(As on 31-Aug-2025)",Bandhan Asset Management Company Limited,BSE 500 TRI,Manish Gunwani,Financial,35.75,Technology,16.23,Consumer Discretionary,12.92,Very High,Equity,Flexi Cap
Bandhan Focused Dir,Equity: Flexi Cap,-3.09,1.93,18.53,18.75,BSE 500 TRI,2.84,-3.29,15.09,20.66,17.42,14.09,0.79,1.12,0.9,3.8,14.4,13.39,0.6,0.94,Bandhan Mutual Fund,Open-ended,"0.80%
(As on 31-Aug-2025)",Bandhan Asset Management Company Limited,BSE 500 TRI,Kirthi Jain,Financial,37.92,Healthcare,12.27,Technology,10.89,Very High,Equity,Flexi Cap
Bandhan Infrastructure Dir,Equity: Thematic-Infrastructure,-4.14,-10.59,27.39,33.84,BSE India Infrastructure TRI,-3.38,-19.16,27.14,34.31,25.97,19.5,1.01,1.41,0.69,6.21,25.88,24.31,0.8,1.54,Bandhan Mutual Fund,Open-ended,"0.85%
(As on 31-Aug-2025)",Bandhan Asset Management Company Limited,BSE India Infrastructure TRI,Vishal Biraia,Industrials,45.35,Energy & Utilities,16.6,Materials,9.64,Very High,Equity,Thematic-Infrastructure
Bandhan Large Cap Dir,Equity: Large Cap,3.94,-0.7,16.77,19.38,BSE 100 TRI,4.46,-1.7,14.08,19.28,15.82,12.98,0.73,1.17,1.0,2.44,13.41,12.6,0.56,0.95,Bandhan Mutual Fund,Open-ended,"0.87%
(As on 31-Aug-2025)",Bandhan Asset Management Company Limited,BSE 100 TRI,Manish Gunwani,Financial,30.74,Technology,14.53,Energy & Utilities,11.41,Very High,Equity,Large Cap
Bandhan Large & Mid Cap Dir,Equity: Large & MidCap,3.22,-1.84,24.66,26.86,BSE Large Mid Cap TRI,3.63,-2.87,14.42,20.55,22.71,13.49,1.21,1.77,0.97,9.07,13.75,13.11,0.57,0.8,Bandhan Mutual Fund,Open-ended,"0.57%
(As on 31-Aug-2025)",Bandhan Asset Management Company Limited,NIFTY Large Midcap 250 TRI,Manish Gunwani,Financial,29.98,Industrials,13.46,Technology,11.04,Very High,Equity,Large & MidCap
Bandhan Nifty 50 ETF,Equity: Large Cap,5.73,-0.44,13.08,18.03,BSE 100 TRI,4.46,-1.7,14.08,19.28,12.46,12.11,0.51,0.91,0.95,-0.63,13.41,12.6,0.56,0.95,Bandhan Mutual Fund,Open-ended,"0.09%
(As on 31-Aug-2025)",Bandhan Asset Management Company Limited,NIFTY 50 TRI,Abhishek Jain,Financial,37.61,Technology,16.9,Energy & Utilities,11.73,Very High,Equity,Large Cap
Bandhan Nifty 50 Index Dir,Equity: Large Cap,5.69,-0.55,12.93,18.04,BSE 100 TRI,4.46,-1.7,14.08,19.28,12.33,12.11,0.5,0.89,0.96,-0.76,13.41,12.6,0.56,0.95,Bandhan Mutual Fund,Open-ended,"0.10%
(As on 31-Aug-2025)",Bandhan Asset Management Company Limited,NIFTY 50 TRI,Abhishek Jain,Financial,37.75,Technology,16.94,Energy & Utilities,11.78,Very High,Equity,Large Cap
Bandhan Small Cap Dir,Equity: Small Cap,-1.14,-2.56,30.03,32.7,BSE 250 SmallCap TRI,-3.99,-8.74,21.32,28.44,27.94,17.97,1.2,1.96,0.92,8.19,20.97,18.9,0.77,1.19,Bandhan Mutual Fund,Open-ended,"0.41%
(As on 31-Aug-2025)",Bandhan Asset Management Company Limited,BSE 250 SmallCap TRI,Kirthi Jain,Financial,21.28,Consumer Discretionary,13.64,Healthcare,11.89,Very High,Equity,Small Cap
Bandhan Value Dir,Equity: Value Oriented,0.39,-5.81,17.96,28.25,BSE 500 TRI,2.84,-3.29,15.09,20.66,17.03,11.98,0.89,1.42,0.86,3.79,14.4,13.39,0.6,0.94,Bandhan Mutual Fund,Open-ended,"0.69%
(As on 31-Aug-2025)",Bandhan Asset Management Company Limited,BSE 500 TRI,Daylynn Gerard Paul Pinto,Financial,33.34,Energy & Utilities,11.65,Consumer Discretionary,11.56,Very High,Equity,Value Oriented
Bank of India ELSS Tax Saver Fund Dir,Equity: ELSS,-5.36,-9.09,17.47,22.7,BSE 500 TRI,2.84,-3.29,15.09,20.66,17.42,16.36,0.68,0.99,1.12,2.08,14.4,13.39,0.6,0.94,Bank of India Mutual Fund,Open-ended,"0.77%
(As on 31-Aug-2025)",Bank of India Investment Managers Private Limited,BSE 500 TRI,Alok Singh,Financial,24.66,Industrials,16.08,Materials,13.81,Very High,Equity,ELSS
Bank of India Flexi Cap Dir,Equity: Flexi Cap,-2.71,-5.97,22.01,27.13,BSE 500 TRI,2.84,-3.29,15.09,20.66,20.95,17.13,0.85,1.28,1.15,5.37,14.4,13.39,0.6,0.94,Bank of India Mutual Fund,Open-ended,"0.54%
(As on 31-Aug-2025)",Bank of India Investment Managers Private Limited,BSE 500 TRI,Alok Singh,Financial,26.1,Industrials,14.71,Materials,13.95,Very High,Equity,Flexi Cap
Bank of India Large & Mid Cap Dir,Equity: Large & MidCap,0.64,-6.79,16.16,21.28,BSE Large Mid Cap TRI,3.63,-2.87,14.42,20.55,15.81,14.42,0.66,0.99,1.04,1.59,13.75,13.11,0.57,0.8,Bank of India Mutual Fund,Open-ended,"0.95%
(As on 31-Aug-2025)",Bank of India Investment Managers Private Limited,BSE 250 Large MidCap TRI,Nitin Gosar,Financial,29.61,Consumer Discretionary,13.54,Materials,11.89,Very High,Equity,Large & MidCap
Bank of India Manufacturing & Infra Dir,Equity: Thematic-Infrastructure,3.22,-4.25,24.79,29.46,BSE India Infrastructure TRI,-3.38,-19.16,27.14,34.31,23.29,16.19,1.05,1.37,0.55,6.25,25.88,24.31,0.8,1.54,Bank of India Mutual Fund,Open-ended,"0.73%
(As on 31-Aug-2025)",Bank of India Investment Managers Private Limited,"BSE India Infrastructure TRI (50), BSE India Manufacturing TRI (50)",Nitin Gosar,Industrials,29.03,Materials,17.99,Consumer Discretionary,16.1,Very High,Equity,Thematic-Infrastructure
Bank of India Small Cap Dir,Equity: Small Cap,-5.07,-6.57,21.19,30.42,BSE 250 SmallCap TRI,-3.99,-8.74,21.32,28.44,20.53,17.76,0.8,1.05,0.89,1.2,20.97,18.9,0.77,1.19,Bank of India Mutual Fund,Open-ended,"0.75%
(As on 31-Aug-2025)",Bank of India Investment Managers Private Limited,NIFTY Smallcap 250 TRI,Alok Singh,Industrials,18.26,Financial,18.14,Materials,14.86,Very High,Equity,Small Cap
Baroda BNP Paribas ELSS Tax Saver Dir,Equity: ELSS,0.17,0.35,18.68,20.83,BSE 500 TRI,2.84,-3.29,15.09,20.66,17.66,13.4,0.85,1.22,0.95,3.69,14.4,13.39,0.6,0.94,Baroda BNP Paribas Mutual Fund,Open-ended,"1.01%
(As on 31-Aug-2025)",Baroda BNP Paribas Asset Management (India) Private Ltd.,NIFTY 500 TRI,Pratish Krishnan,Financial,31.56,Industrials,15.04,Technology,12.7,Very High,Equity,ELSS
Baroda BNP Paribas Focused Dir,Equity: Flexi Cap,-1.66,-5.68,14.19,18.86,BSE 500 TRI,2.84,-3.29,15.09,20.66,14.16,15.05,0.52,0.71,1.05,-0.65,14.4,13.39,0.6,0.94,Baroda BNP Paribas Mutual Fund,Open-ended,"0.48%
(As on 31-Aug-2025)",Baroda BNP Paribas Asset Management (India) Private Ltd.,NIFTY 500 TRI,Kirtan Mehta,Financial,38.97,Healthcare,12.72,Technology,12.29,Very High,Equity,Flexi Cap
Baroda BNP Paribas India Consumption Dir,Equity: Thematic-Consumption,3.82,-0.74,17.95,21.85,BSE 500 TRI,2.84,-3.29,15.09,20.66,16.64,13.37,0.77,1.0,0.79,1.26,14.4,13.39,0.6,0.94,Baroda BNP Paribas Mutual Fund,Open-ended,"0.64%
(As on 31-Aug-2025)",Baroda BNP Paribas Asset Management (India) Private Ltd.,NIFTY India Consumption TRI,Himanshu Singh,Consumer Staples,37.67,Consumer Discretionary,37.39,Technology,9.98,Very High,Equity,Thematic-Consumption
Baroda BNP Paribas Large Cap Dir,Equity: Large Cap,0.83,-4.57,16.54,19.69,BSE 100 TRI,4.46,-1.7,14.08,19.28,15.88,12.67,0.75,1.16,0.98,2.59,13.41,12.6,0.56,0.95,Baroda BNP Paribas Mutual Fund,Open-ended,"0.76%
(As on 31-Aug-2025)",Baroda BNP Paribas Asset Management (India) Private Ltd.,NIFTY 100 TRI,Jitendra Sriram,Financial,31.96,Technology,15.37,Energy & Utilities,12.47,Very High,Equity,Large Cap
Baroda BNP Paribas Midcap Dir,Equity: Mid Cap,-1.1,-3.16,20.18,26.14,BSE 150 MidCap TRI,-0.17,-4.94,21.8,27.39,19.36,13.58,0.96,1.33,0.84,1.04,20.69,15.83,0.91,1.34,Baroda BNP Paribas Mutual Fund,Open-ended,"0.56%
(As on 31-Aug-2025)",Baroda BNP Paribas Asset Management (India) Private Ltd.,NIFTY Midcap 150 TRI,Himanshu Singh,Financial,18.24,Industrials,16.98,Healthcare,15.27,Very High,Equity,Mid Cap
BHARAT 22 ETF,Equity: Large Cap,-0.54,-8.63,25.8,32.18,BSE 100 TRI,4.46,-1.7,14.08,19.28,24.41,17.21,1.05,1.74,1.15,9.91,13.41,12.6,0.56,0.95,ICICI Prudential Mutual Fund,Open-ended,"0.07%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,BSE Bharat 22 TRI,Ajay Kumar Solanki,Energy & Utilities,34.56,Industrials,22.14,Financial,19.91,Very High,Equity,Large Cap
Canara Robeco Consumer Trends Dir,Equity: Thematic-Consumption,4.65,-1.53,17.33,23.16,BSE 500 TRI,2.84,-3.29,15.09,20.66,16.27,12.75,0.78,1.23,0.74,1.37,14.4,13.39,0.6,0.94,Canara Robeco Mutual Fund,Open-ended,"0.80%
(As on 31-Aug-2025)",Canara Robeco Asset Management Company Ltd,BSE 100 TRI,Ennette Fernandes,Financial,30.87,Consumer Discretionary,25.84,Consumer Staples,19.0,Very High,Equity,Thematic-Consumption
